iter	Passed	Remaining
0	109	43693
1	204	40715
2	288	38113
3	370	36656
4	453	35842
5	527	34645
6	604	33966
7	718	35227
8	803	34885
9	863	33668
10	941	33282
11	1017	32912
12	1079	32146
13	1145	31594
14	1262	32400
15	1385	33260
16	1449	32650
17	1514	32149
18	1573	31553
19	1628	30939
20	1676	30264
21	1724	29632
22	1790	29344
23	1859	29128
24	1907	28612
25	1963	28238
26	2014	27831
27	2058	27346
28	2114	27047
29	2169	26759
30	2229	26538
31	2293	26379
32	2351	26155
33	2409	25933
34	2454	25596
35	2508	25363
36	2561	25126
37	2607	24840
38	2660	24627
39	2706	24360
40	2764	24202
41	2809	23951
42	2860	23751
43	2906	23518
44	3040	23988
45	3095	23821
46	3153	23684
47	3209	23535
48	3261	23366
49	3314	23202
50	3359	22991
51	3408	22810
52	3466	22692
53	3528	22606
54	3586	22494
55	3644	22390
56	3695	22238
57	3754	22137
58	3804	21989
59	3856	21852
60	3906	21707
61	3962	21600
62	4007	21439
63	4052	21275
64	4104	21155
65	4165	21077
66	4219	20972
67	4270	20849
68	4324	20744
69	4378	20639
70	4427	20517
71	4486	20439
72	4532	20301
73	4579	20172
74	4630	20066
75	4682	19962
76	4734	19859
77	4787	19764
78	4836	19653
79	4888	19553
80	4942	19463
81	4988	19343
82	5039	19248
83	5090	19150
84	5147	19075
85	5210	19025
86	5261	18929
87	5317	18853
88	5370	18765
89	5415	18653
90	5466	18561
91	5522	18489
92	5571	18391
93	5628	18322
94	5677	18228
95	5722	18122
96	5766	18012
97	5821	17940
98	5879	17875
99	5931	17793
100	5986	17723
101	6032	17623
102	6085	17548
103	6136	17466
104	6183	17371
105	6239	17305
106	6295	17238
107	6352	17174
108	6427	17158
109	6483	17092
110	6541	17030
111	6595	16960
112	6651	16892
113	6703	16818
114	6764	16765
115	6813	16681
116	6863	16601
117	6923	16545
118	6971	16461
119	7020	16381
120	7067	16296
121	7120	16225
122	7170	16147
123	7224	16079
124	7284	16026
125	7358	16001
126	7415	15941
127	7467	15868
128	7519	15796
129	7570	15724
130	7625	15658
131	7687	15607
132	7743	15545
133	7794	15473
134	7848	15406
135	7896	15329
136	7944	15250
137	8005	15198
138	8061	15136
139	8113	15067
140	8166	15000
141	8211	14919
142	8267	14858
143	8318	14789
144	8363	14708
145	8427	14661
146	8484	14602
147	8532	14528
148	8588	14467
149	8648	14414
150	8708	14360
151	8762	14296
152	8815	14231
153	8869	14167
154	8919	14099
155	8972	14033
156	9022	13964
157	9079	13906
158	9128	13836
159	9181	13771
160	9232	13705
161	9288	13645
162	9339	13578
163	9387	13508
164	9447	13455
165	9492	13380
166	9546	13319
167	9591	13245
168	9644	13182
169	9698	13121
170	9769	13082
171	9822	13020
172	9876	12959
173	9926	12892
174	9978	12829
175	10032	12768
176	10086	12708
177	10148	12657
178	10200	12593
179	10249	12527
180	10302	12465
181	10350	12397
182	10398	12330
183	10449	12267
184	10495	12197
185	10545	12133
186	10600	12074
187	10655	12015
188	10704	11950
189	10749	11880
190	10809	11828
191	10858	11762
192	10911	11703
193	10965	11644
194	11018	11583
195	11070	11522
196	11120	11459
197	11172	11397
198	11243	11356
199	11298	11298
200	11351	11238
201	11399	11173
202	11449	11110
203	11499	11048
204	11551	10987
205	11605	10929
206	11659	10870
207	11716	10815
208	11781	10767
209	11832	10705
210	11883	10644
211	11927	10577
212	11976	10515
213	12029	10455
214	12074	10389
215	12121	10325
216	12174	10266
217	12221	10203
218	12312	10175
219	12371	10121
220	12424	10063
221	12478	10005
222	12532	9947
223	12590	9892
224	12649	9838
225	12705	9781
226	12767	9730
227	12815	9667
228	12868	9609
229	12924	9552
230	12976	9493
231	13033	9438
232	13089	9381
233	13146	9325
234	13190	9261
235	13244	9203
236	13288	9139
237	13356	9091
238	13409	9033
239	13469	8979
240	13527	8924
241	13587	8871
242	13643	8815
243	13700	8759
244	13764	8708
245	13820	8651
246	13868	8590
247	13919	8531
248	13971	8472
249	14025	8415
250	14077	8357
251	14131	8299
252	14182	8240
253	14237	8183
254	14292	8126
255	14336	8064
256	14405	8015
257	14450	7953
258	14505	7896
259	14556	7838
260	14606	7779
261	14665	7724
262	14712	7663
263	14765	7606
264	14822	7550
265	14873	7492
266	14927	7435
267	14981	7379
268	15048	7328
269	15111	7275
270	15167	7220
271	15225	7164
272	15275	7106
273	15338	7053
274	15400	7000
275	15454	6943
276	15531	6896
277	15576	6835
278	15634	6780
279	15685	6722
280	15736	6664
281	15791	6607
282	15846	6551
283	15902	6495
284	15954	6437
285	16000	6378
286	16056	6321
287	16103	6262
288	16157	6205
289	16229	6156
290	16290	6101
291	16364	6052
292	16429	6000
293	16497	5948
294	16557	5893
295	16627	5842
296	16682	5785
297	16741	5730
298	16795	5673
299	16860	5620
300	16913	5562
301	16970	5506
302	17021	5449
303	17078	5393
304	17132	5336
305	17188	5280
306	17236	5221
307	17309	5170
308	17362	5113
309	17423	5058
310	17472	5000
311	17520	4941
312	17574	4884
313	17630	4828
314	17677	4770
315	17728	4712
316	17785	4656
317	17851	4603
318	17903	4546
319	17957	4489
320	18014	4433
321	18061	4375
322	18112	4317
323	18178	4264
324	18224	4205
325	18273	4148
326	18324	4090
327	18377	4034
328	18431	3977
329	18484	3920
330	18535	3863
331	18589	3807
332	18647	3751
333	18711	3697
334	18776	3643
335	18818	3584
336	18869	3527
337	18921	3470
338	18971	3413
339	19019	3356
340	19058	3297
341	19115	3241
342	19158	3183
343	19210	3127
344	19271	3072
345	19332	3017
346	19397	2962
347	19467	2909
348	19542	2855
349	19611	2801
350	19686	2748
351	19761	2694
352	19820	2638
353	19886	2584
354	19945	2528
355	20010	2473
356	20070	2417
357	20134	2362
358	20189	2305
359	20259	2251
360	20317	2195
361	20370	2138
362	20432	2082
363	20492	2026
364	20551	1970
365	20615	1915
366	20688	1860
367	20749	1804
368	20800	1747
369	20858	1691
370	20919	1635
371	20980	1579
372	21051	1523
373	21129	1468
374	21281	1418
375	21377	1364
376	21475	1310
377	21576	1255
378	21677	1201
379	21768	1145
380	21854	1089
381	21947	1034
382	22041	978
383	22144	922
384	22234	866
385	22330	809
386	22417	753
387	22465	694
388	22536	637
389	22602	579
390	22665	521
391	22730	463
392	22787	405
393	22846	347
394	22916	290
395	22977	232
396	23049	174
397	23108	116
398	23159	58
399	23219	0
