iter	Passed	Remaining
0	439	43486
1	851	41739
2	1278	41322
3	1820	43697
4	2265	43037
5	2635	41294
6	3284	43638
7	3858	44376
8	4415	44641
9	4770	42937
10	5353	43312
11	5693	41755
12	6031	40364
13	6357	39052
14	6714	38046
15	7061	37071
16	7408	36169
17	7733	35232
18	8076	34429
19	8438	33752
20	8758	32949
21	9123	32346
22	9473	31716
23	9829	31127
24	10160	30481
25	10496	29874
26	10843	29317
27	11192	28781
28	11525	28216
29	11933	27845
30	12271	27313
31	12597	26769
32	12936	26265
33	13291	25801
34	13610	25277
35	13982	24858
36	14661	24963
37	15175	24760
38	15708	24569
39	16050	24076
40	16400	23600
41	16956	23416
42	17303	22937
43	17652	22467
44	17974	21969
45	18315	21500
46	18640	21020
47	19367	20981
48	19843	20653
49	20375	20375
50	20706	19894
51	21230	19597
52	21552	19112
53	21878	18637
54	22192	18157
55	22503	17681
56	22812	17209
57	23151	16764
58	23469	16309
59	23797	15865
60	24114	15417
61	24435	14976
62	24749	14535
63	25066	14100
64	25390	13671
65	25714	13246
66	26032	12821
67	26345	12398
68	26657	11976
69	27053	11594
70	27524	11242
71	27937	10864
72	28325	10476
73	28741	10098
74	29058	9686
75	29577	9340
76	29892	8928
77	30218	8523
78	30529	8115
79	30857	7714
80	31416	7369
81	31739	6967
82	32057	6566
83	32367	6165
84	32703	5771
85	33021	5375
86	33354	4983
87	33676	4592
88	33998	4202
89	34308	3812
90	34625	3424
91	34938	3038
92	35256	2653
93	35578	2270
94	35929	1891
95	36472	1519
96	36805	1138
97	37341	762
98	37666	380
99	37978	0
